ano,mes,instituto_pesquisa,contratante_pesquisa_original,data_inicio_pesquisa,data_fim_pesquisa,tamanho_amostra,margem_erro,cenario_id,nome_candidato,partido,percentual,percentual_numero,outros,indecisos_absentos,fonte_titulo,fonte_url,fonte_website,fonte_data_publicacao,fonte_data_acesso,linha_original_wikitext,observacoes_extracao
2018,Março,CNT/MDA,CNT/MDA [BR-06600/2018],28 de fevereiro,3 de março de 2018,2.002,"2,2",cenario_3,Dias,PODE,"4,1%",4.1,"4,6%","38,5%",,http://cms.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_sintese_completo_cntmda_135.pdf,,,,"4,1%<br /><small>(Dias)</small>",
2018,Março,CNT/MDA,CNT/MDA [BR-06600/2018],28 de fevereiro,3 de março de 2018,2.002,"2,2",cenario_3,Alckmin,PSDB,"8,7%",8.7,"4,6%","38,5%",,http://cms.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_sintese_completo_cntmda_135.pdf,,,,"8,7%<br /><small>(Alckmin)</small>",
2018,Março,CNT/MDA,CNT/MDA [BR-06600/2018],28 de fevereiro,3 de março de 2018,2.002,"2,2",cenario_3,,NOVO,,,"4,6%","38,5%",,http://cms.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_sintese_completo_cntmda_135.pdf,,,,–,
2018,Março,CNT/MDA,CNT/MDA [BR-06600/2018],28 de fevereiro,3 de março de 2018,2.002,"2,2",cenario_3,Bolsonaro,PSL,"20,2%",20.2,"4,6%","38,5%",,http://cms.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_sintese_completo_cntmda_135.pdf,,,,"style=""background:#FeFFE3"" |'''20,2%'''<br /><small>(Bolsonaro)</small>",
2018,Março,CNT/MDA,CNT/MDA [BR-06600/2018],28 de fevereiro,3 de março de 2018,2.002,"2,2",cenario_4,Lula,PT,"33,4%",33.4,"2,5%","24,6%",,http://cms.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_sintese_completo_cntmda_135.pdf,,,,"style=""background:#FFE3E3"" |'''33,4%'''<small><br />(Lula)</small>",
2018,Março,CNT/MDA,CNT/MDA [BR-06600/2018],28 de fevereiro,3 de março de 2018,2.002,"2,2",cenario_4,Gomes,PDT,"4,3%",4.3,"2,5%","24,6%",,http://cms.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_sintese_completo_cntmda_135.pdf,,,,"4,3%<br /><small>(Gomes)</small>",
2018,Março,CNT/MDA,CNT/MDA [BR-06600/2018],28 de fevereiro,3 de março de 2018,2.002,"2,2",cenario_4,,PSB,,,"2,5%","24,6%",,http://cms.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_sintese_completo_cntmda_135.pdf,,,,–,
2018,Março,CNT/MDA,CNT/MDA [BR-06600/2018],28 de fevereiro,3 de março de 2018,2.002,"2,2",cenario_4,Silva,REDE,"7,8%",7.8,"2,5%","24,6%",,http://cms.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_sintese_completo_cntmda_135.pdf,,,,"7,8%<br /><small>(Silva)</small>",
2018,Março,CNT/MDA,CNT/MDA [BR-06600/2018],28 de fevereiro,3 de março de 2018,2.002,"2,2",cenario_4,Temer,MDB,"0,9%",0.9,"2,5%","24,6%",,http://cms.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_sintese_completo_cntmda_135.pdf,,,,"0,9%<br /><small>([[Michel Temer|Temer]])</small>",
2018,Março,CNT/MDA,CNT/MDA [BR-06600/2018],28 de fevereiro,3 de março de 2018,2.002,"2,2",cenario_4,Dias,PODE,"3,3%",3.3,"2,5%","24,6%",,http://cms.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_sintese_completo_cntmda_135.pdf,,,,"3,3%<br /><small>(Dias)</small>",
2018,Março,CNT/MDA,CNT/MDA [BR-06600/2018],28 de fevereiro,3 de março de 2018,2.002,"2,2",cenario_4,Alckmin,PSDB,"6,4%",6.4,"2,5%","24,6%",,http://cms.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_sintese_completo_cntmda_135.pdf,,,,"6,4%<br /><small>(Alckmin)</small>",
2018,Março,CNT/MDA,CNT/MDA [BR-06600/2018],28 de fevereiro,3 de março de 2018,2.002,"2,2",cenario_4,,NOVO,,,"2,5%","24,6%",,http://cms.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_sintese_completo_cntmda_135.pdf,,,,–,
